model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 Golf,2015,10491,Manual,47599,Diesel,20,68.9,2,volkswagen
 GLC Class,2019,41995,Semi-Auto,1367,Diesel,150,40.4,2,merc
 A Class,2018,18562,Semi-Auto,18905,Diesel,145,65.7,1.5,merc
 Zafira,2017,11298,Manual,8504,Petrol,205,41.5,1.4,vauxhall
 Octavia,2016,10695,Manual,84360,Diesel,30,62.8,2,skoda
 X5,2017,34990,Automatic,18000,Diesel,200,47.1,3,BMW
 Q3,2013,11699,Manual,36954,Diesel,145,54.3,2,Audi
 Tucson,2017,15490,Automatic,28354,Diesel,150,46.3,2,hyundi
 3 Series,2013,11001,Manual,61000,Diesel,125,58.9,2,BMW
 Golf SV,2018,14999,Semi-Auto,18622,Petrol,145,55.4,1.5,volkswagen
 Verso,2015,9291,Semi-Auto,88412,Petrol,165,43.5,1.8,toyota
 Yeti,2017,13990,Semi-Auto,28280,,145,,1.2,skoda
 Corsa,2016,6295,Manual,23248,Petrol,30,55.4,1.4,vauxhall
 A5,2019,24975,Semi-Auto,17912,Petrol,145,40.4,2,Audi
 Polo,2019,15990,Manual,3268,Petrol,145,49.6,1,volkswagen
 Focus,2018,11660,Manual,46995,Petrol,145,60.1,1,ford
 Golf,2019,15989,Manual,12627,Petrol,145,46.3,1.5,volkswagen
 Polo,2017,9980,Manual,21560,Petrol,150,60.1,1,volkswagen
 Focus,2018,13600,Manual,13144,Petrol,145,58.9,1,ford
 Polo,2019,15995,Manual,230,Petrol,145,47.9,1,volkswagen
 Corsa,2010,4495,Manual,40214,Petrol,125,51.4,1.4,vauxhall
 Fiesta,2018,10390,Manual,23345,Petrol,145,62.8,1,ford
 Kuga,2018,16000,Manual,8483,Diesel,145,60.1,2,ford
 A Class,2016,11900,Manual,78772,Diesel,30,62.8,2.1,merc
 Corsa,2019,,Manual,1440,,145,,1.4,vauxhall
 A4,2016,21999,Semi-Auto,30675,Diesel,30,61.4,3,Audi
 Mokka X,2017,9667,Manual,22966,Petrol,145,47.1,1.4,vauxhall
 Antara,2015,6500,Manual,52889,Diesel,240,44.1,2.2,vauxhall
 E Class,2016,18995,Semi-Auto,18723,Diesel,125,60.1,2.1,merc
 Focus,2014,11607,Manual,23000,Petrol,235,39.2,2,ford
 4 Series,2019,25480,Semi-Auto,8042,Diesel,145,65.7,2,BMW
 A Class,2019,,Semi-Auto,6690,,145,,1.3,merc
 Q5,2020,37444,Automatic,3000,Petrol,145,32.1,2,Audi
 Superb,2019,15280,Manual,40100,Diesel,145,64.2,2,skoda
 Astra,2017,8371,Manual,46230,Petrol,145,51.4,1.4,vauxhall
 E Class,2013,12230,Automatic,77492,Diesel,160,51.4,2.1,merc
 X1,2017,20980,Semi-Auto,31630,Diesel,150,55.4,2,BMW
 X1,2018,21980,Semi-Auto,10708,Diesel,145,60.1,2,BMW
 5 Series,2019,42650,Semi-Auto,101,Petrol,145,50.4,2,BMW
 8 Series,2020,56990,Semi-Auto,3242,Petrol,150,33.6,3,BMW
 Mondeo,2014,9149,Manual,32904,Diesel,30,61.4,2,ford
 Aygo,2017,7998,Manual,6730,Petrol,145,68.9,1,toyota
 B Class,2018,18999,Semi-Auto,13868,Petrol,150,50.4,1.6,merc
 Fiesta,2017,9899,Manual,30526,Petrol,0,65.7,1,ford
 3 Series,2016,12400,Manual,33270,Petrol,150,48.7,2,BMW
 Fiesta,2018,11995,Manual,12080,Petrol,150,65.7,1,ford
 Ka+,2019,11299,Manual,2516,,145,,1.2,ford
 Mokka X,2019,14494,Manual,9104,Petrol,145,39.2,1.4,vauxhall
 Focus,2020,22990,Automatic,185,Diesel,145,54.3,1.5,ford
 X2,2019,27806,Semi-Auto,2198,Petrol,145,36.2,2,BMW
 Polo,2017,8800,Manual,24881,Petrol,145,60.1,1,volkswagen
 Polo,2016,9495,Manual,48511,Petrol,20,60.1,1.2,volkswagen
 C-MAX,2017,12500,Manual,12928,Petrol,30,55.4,1,ford
 Golf,2018,15790,Manual,12652,Diesel,145,55.4,1.6,volkswagen
 Ka+,2019,10495,Manual,5000,Petrol,145,43.5,1.2,ford
 GLE Class,2019,54991,Automatic,1644,Diesel,145,32.8,3,merc
 A6,2017,15000,Automatic,64962,Diesel,145,64.2,2,Audi
 Mokka,2013,7290,Manual,42105,Diesel,125,57.6,1.7,vauxhall
 4 Series,2019,23480,Automatic,5738,Diesel,145,65.7,2,BMW
 Fabia,2017,11495,Manual,17001,Petrol,20,58.9,1.2,skoda
 2 Series,2018,14157,Automatic,29590,Petrol,145,53.3,1.5,BMW
 4 Series,2016,20499,Automatic,16955,Diesel,145,53.3,3,BMW
 Mokka,2017,10800,Manual,21480,Petrol,145,42.2,1.6,vauxhall
 A5,2020,27900,Semi-Auto,5000,Petrol,145,40.4,2,Audi
 Focus,2015,10699,Manual,21462,Petrol,125,51.4,1.5,ford
 Focus,2019,26000,Manual,8480,Petrol,145,34.5,2.3,ford
 Fiesta,2018,11499,Semi-Auto,35113,Petrol,145,54.3,1,ford
 Fiesta,2017,9500,Manual,17373,Petrol,0,65.7,1,ford
 Passat,2016,10298,Manual,56038,Diesel,20,68.9,2,volkswagen
 Polo,2019,14495,Manual,15749,Petrol,150,52.3,1,volkswagen
 Fabia,2017,11495,Semi-Auto,11184,Petrol,20,60.1,1.2,skoda
 Mokka X,2018,13995,Manual,15265,Petrol,145,39.2,1.4,vauxhall
 1 Series,2016,9749,Manual,56044,Diesel,0,78.5,1.5,BMW
 Kamiq,2020,19885,Semi-Auto,1575,Petrol,145,43.5,1.5,skoda
 Fiesta,2017,9990,Manual,13051,Petrol,145,65.7,1,ford
 Golf,2019,19950,Manual,5000,Petrol,145,49.6,1.5,volkswagen
 Focus,2015,7700,Manual,47192,Diesel,20,67.3,1.6,ford
 Adam,2015,5991,Manual,44500,Petrol,125,53.3,1.2,vauxhall
 Polo,2016,9589,Manual,9476,Petrol,20,60.1,1,volkswagen
 Q5,2020,45000,Semi-Auto,2500,Diesel,145,37.2,2,Audi
 2 Series,2019,21000,Manual,50,Petrol,145,52.3,1.5,BMW
 Fiesta,2013,6298,Manual,40803,Diesel,0,76.4,1.5,ford
 Polo,2016,13290,Semi-Auto,12215,Petrol,20,60.1,1.2,volkswagen
 Q7,2019,,Automatic,8000,,145,,3,Audi
 Yaris,2013,5500,Manual,49617,Petrol,125,51.4,1.3,toyota
 Corsa,2017,8191,Manual,16477,Petrol,150,54.3,1.4,vauxhall
 T-Cross,2019,16999,Manual,4899,Petrol,145,47.9,1,volkswagen
 Astra,2017,8910,Manual,36921,Diesel,145,78.5,1.6,vauxhall
 C Class,2016,16475,Automatic,34452,Diesel,30,64.2,2.1,merc
 Golf,2016,16242,Semi-Auto,21779,Petrol,20,60.1,1.4,volkswagen
 Auris,2014,8995,Semi-Auto,4500,Petrol,145,49.6,1.6,toyota
 Focus,2016,9797,Manual,25286,Diesel,0,74.3,1.5,ford
 Karoq,2019,21950,Automatic,11960,Petrol,145,50.4,1.5,skoda
 E Class,2017,22750,Automatic,20737,Diesel,145,65.7,2,merc
 Yaris,2016,13290,Automatic,20924,Hybrid,0,78,1.5,toyota
 Yeti Outdoor,2017,13498,Semi-Auto,40045,Petrol,150,51.4,1.2,skoda
 5 Series,2019,31950,Semi-Auto,10776,Diesel,145,60.1,3,BMW
 1 Series,2012,5495,Manual,73853,Diesel,125,60.1,2,BMW
 Up,2019,11975,Manual,14702,Petrol,150,50.4,1,volkswagen
 Fiesta,2013,6491,Manual,51988,Diesel,0,78.5,1.6,ford
 A Class,2020,25991,Semi-Auto,5797,Diesel,145,62.8,1.5,merc
 Tiguan Allspace,2019,26998,Semi-Auto,4814,Diesel,150,39.2,2,volkswagen
 C-HR,2017,21990,Automatic,19741,Hybrid,135,74.3,1.8,toyota
 Tiguan,2016,17450,Automatic,27847,Diesel,160,49.6,2,volkswagen
 Superb,2020,23290,Semi-Auto,495,Diesel,145,47.9,1.6,skoda
 A5,2019,32970,Semi-Auto,8275,Diesel,150,44.8,2,Audi
 Fiesta,2016,7499,Manual,27243,Petrol,125,54.3,1.2,ford
 Polo,2020,15231,Manual,1822,Petrol,145,47.9,1,volkswagen
 C Class,2016,13990,Manual,57138,Diesel,20,68.9,2.1,merc
 C Class,2016,16200,Manual,23216,Diesel,20,68.9,1.6,merc
 Fiesta,2018,14990,Manual,8895,Petrol,150,65.7,1,ford
 X3,2019,33480,Automatic,8345,Diesel,145,54.3,2,BMW
 GLA Class,2015,17000,Automatic,28952,Diesel,125,55.4,2.1,merc
 E Class,2018,25498,Semi-Auto,10267,Diesel,150,58.9,2,merc
 3 Series,2019,31995,Semi-Auto,4995,Diesel,145,52.3,2,BMW
 A4,2019,25990,Automatic,5500,Petrol,145,38.7,2,Audi
 Mokka X,2017,10995,Manual,9988,Petrol,205,42.2,1.6,vauxhall
 GLE Class,2016,24998,Semi-Auto,42913,Diesel,200,47.9,2.1,merc
 A Class,2015,11200,Automatic,38776,Diesel,20,68.9,2.1,merc
 E Class,2019,28480,Semi-Auto,14827,Diesel,145,58.9,2,merc
 A3,2018,18990,Manual,6321,Petrol,145,50.4,2,Audi
 Kuga,2019,17995,Manual,10701,Petrol,145,39.2,1.5,ford
 Focus,2013,5995,Manual,63784,Petrol,30,56.5,1,ford
 A4,2016,,Semi-Auto,43420,,30,,2,Audi
 Q7,2017,49995,Semi-Auto,39300,Diesel,150,39.2,4,Audi
 GLA Class,2015,15020,Automatic,63884,Diesel,30,62.8,2.1,merc
 GLA Class,2016,19490,Semi-Auto,29766,Diesel,125,56.5,2.1,merc
 Golf,2016,21892,Semi-Auto,35640,Petrol,200,39.8,2,volkswagen
 1 Series,2015,10388,Manual,28640,Diesel,0,83.1,1.5,BMW
 Kuga,2019,15995,Manual,16697,Diesel,145,54.3,1.5,ford
 Auris,2016,13495,Automatic,35417,Hybrid,0,72.4,1.8,toyota
 Q3,2019,34950,Automatic,3225,Petrol,145,30.7,2,Audi
 A3,2018,15840,Manual,22710,Diesel,145,68.9,1.6,Audi
 Focus,2013,7300,Manual,48881,Diesel,20,67.3,1.6,ford
 I10,2017,6989,Manual,13625,Petrol,20,60.1,1,hyundi
 Golf,2019,17298,Manual,5385,Petrol,145,47.1,1.5,volkswagen
 A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3,merc
 Kuga,2019,20499,Manual,1987,Petrol,145,35.3,1.5,ford
 2 Series,2019,33440,Automatic,10,Diesel,145,64.2,2,BMW
 Astra,2018,12999,Manual,17466,Petrol,145,45.6,1.6,vauxhall
