model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Manufacturer
 Tucson,2019,15498,Manual,17966,Petrol,145,34.9,1.6,hyundi
 Aygo,2019,9995,Manual,25,,145,56.5,1,toyota
 Astra,2016,10490,Semi-Auto,34754,Diesel,125,61.4,1.6,vauxhall
 Fiesta,2016,10298,Manual,18016,Petrol,0,65.7,1,ford
 1 Series,2017,13000,Manual,26050,Diesel,145,68.9,2,BMW
 C Class,2017,31399,Semi-Auto,19224,Petrol,145,36.2,3,merc
 C Class,2017,19480,Semi-Auto,16419,Diesel,30,64.2,2.1,merc
 7 Series,2016,26800,Automatic,30194,Diesel,150,54.3,3,BMW
 Q3,2013,11477,Manual,73000,Diesel,145,54.3,2,Audi
 T-Roc,2019,25990,Manual,10986,Diesel,145,50.4,2,volkswagen
 E Class,2017,22970,Semi-Auto,22699,Diesel,145,70.6,2,merc
 Astra,2016,7270,Manual,70065,Petrol,20,64.2,1,vauxhall
 C Class,2017,17490,Automatic,31000,Diesel,145,61.4,2.1,merc
 Polo,2016,9495,Manual,28404,Diesel,0,83.1,1.4,volkswagen
 Q2,2019,22500,Semi-Auto,4781,Petrol,150,43.5,1,Audi
 A1,2019,22500,Semi-Auto,2963,Petrol,145,44.8,1.5,Audi
 Adam,2016,6699,Manual,29000,Petrol,125,53.3,1.2,vauxhall
 Kuga,2018,21570,Semi-Auto,16276,Diesel,150,54.3,2,ford
 2 Series,2016,18999,Automatic,35159,Petrol,260,37.2,3,BMW
 Astra,2019,14999,Automatic,3472,Petrol,145,51.4,1.4,vauxhall
 4 Series,2019,25000,Semi-Auto,8592,Diesel,145,65.7,2,BMW
 Focus,2019,15510,Manual,1786,Petrol,145,58.9,1,ford
 Octavia,2019,13499,Manual,14069,Diesel,145,68.9,1.6,skoda
 Yaris,2017,13495,Automatic,20083,Hybrid,140,67.3,1.5,toyota
 Golf,2016,20998,Manual,18949,Petrol,200,39.8,2,volkswagen
 Octavia,2017,10975,Semi-Auto,31283,Diesel,0,76.4,1.6,skoda
 Fiesta,2018,12300,Manual,11173,Petrol,150,56.5,1,ford
 Golf,2015,11495,Manual,50000,Petrol,30,53.3,1.4,volkswagen
 X3,2019,33990,Semi-Auto,11,Diesel,145,54.3,2,BMW
 Corsa,2019,8499,Manual,15684,Petrol,145,43.5,1.4,vauxhall
 Focus,2018,13495,Semi-Auto,7672,Petrol,145,51.4,1,ford
 Astra,2017,11540,Automatic,18995,Petrol,145,51.4,1.4,vauxhall
 Corsa,2017,6599,Manual,22689,Petrol,30,55.4,1.4,vauxhall
 X1,2016,19498,Semi-Auto,20153,Diesel,145,55.4,2,BMW
 E Class,2017,18600,Automatic,40337,Diesel,145,72.4,2,merc
 5 Series,2020,36985,Semi-Auto,12,Diesel,145,56.5,3,BMW
 Fiesta,2015,9450,Manual,21930,Petrol,0,65.7,1,ford
 CL Class,2015,18170,Semi-Auto,16317,Diesel,20,62.8,2.1,merc
 A6,2016,17975,Semi-Auto,50000,Diesel,30,61.4,2,Audi
 Astra,2017,9995,Manual,32000,Diesel,20,74.3,1.6,vauxhall
 Golf,2017,17498,Semi-Auto,35501,Diesel,30,62.8,2,volkswagen
 CLA Class,2020,32995,Automatic,2000,Petrol,150,44.8,1.3,merc
 Golf SV,2017,12792,Manual,17944,Petrol,145,55.4,1.4,volkswagen
 6 Series,2017,22449,Automatic,14400,Diesel,160,51.4,3,BMW
 X1,2016,16998,Manual,13612,Diesel,125,60.1,2,BMW
 Karoq,2019,21690,Automatic,3225,Petrol,145,41.5,1.5,skoda
 Aygo,2016,6495,Manual,26556,Petrol,0,69,1,toyota
 C Class,2019,26995,Semi-Auto,1,Diesel,145,54.3,1.6,merc
 Up,2018,7990,Manual,1171,Petrol,145,54.3,1,volkswagen
 Kodiaq,2019,29990,Automatic,5475,Petrol,150,31.4,2,skoda
 V Class,2015,26950,Automatic,49000,Diesel,235,44.8,2.2,merc
 Focus,2011,5490,Manual,68274,Petrol,145,47.9,1.6,ford
 Tourneo Connect,2017,13950,Automatic,15852,Diesel,145,56.6,1.5,ford
 Golf,2018,15189,Manual,36320,Diesel,145,61.4,1.6,volkswagen
 Golf,2019,18798,Semi-Auto,8650,Diesel,145,52.3,2,volkswagen
 3 Series,2019,30495,Automatic,8,Diesel,145,50.4,2,BMW
 3 Series,2015,13995,Semi-Auto,37798,Diesel,30,64.2,2,BMW
 Octavia,2016,10950,Manual,23750,Diesel,0,72.4,1.6,skoda
 Fiesta,2013,5500,Manual,70400,Diesel,0,76.4,1.5,ford
 Aygo,2016,6998,Manual,31501,Petrol,0,69,1,toyota
 Mokka,2016,10100,Manual,25740,Petrol,160,44.8,1.4,vauxhall
 I30,2013,5998,Manual,62227,Petrol,165,46,1.4,hyundi
 Focus,2018,14950,Manual,581,Petrol,145,58.9,1,ford
 Auris,2014,6995,Manual,31000,Petrol,145,46.3,1.6,toyota
 Corsa,2009,2940,Manual,72000,Petrol,165,46.3,1.2,vauxhall
 A Class,2018,18950,Automatic,9717,Petrol,145,28.5,1.3,merc
 C Class,2016,18150,Semi-Auto,41356,Diesel,30,61.4,2.1,merc
 Focus,2013,5490,Manual,65815,Diesel,20,67.3,1.6,ford
 A6,2016,14498,Semi-Auto,49458,Diesel,30,61.4,2,Audi
 1 Series,2015,13440,Semi-Auto,66471,Petrol,145,47.9,1.6,BMW
 E Class,2019,28866,Automatic,13089,Diesel,145,58.9,2,merc
 Fabia,2018,8998,Manual,11189,Petrol,145,57.7,1,skoda
 Insignia,2016,9499,Manual,39408,Diesel,20,68.9,1.6,vauxhall
 Corsa,2019,10998,Manual,2674,Petrol,145,43.5,1.4,vauxhall
 Citigo,2018,7500,Manual,12709,Petrol,145,67.3,1,skoda
 Zafira,2014,4995,Manual,49853,Petrol,235,39.2,1.8,vauxhall
 Fiesta,2017,9495,Automatic,30600,Petrol,0,57.7,1,ford
 A4,2019,29985,Automatic,10,Petrol,145,42.8,2,Audi
 A Class,2019,26490,Semi-Auto,12984,Petrol,150,53.3,1.3,merc
 Viva,2016,4990,Manual,39306,Petrol,20,62.8,1,vauxhall
 Corsa,2016,6491,Manual,15918,Petrol,30,55.4,1.4,vauxhall
 3 Series,2017,15300,Automatic,39428,Other,0,148.7,2,BMW
 Fabia,2019,8995,Manual,4290,Petrol,150,57.7,1,skoda
 Scirocco,2016,14966,Manual,25624,Diesel,20,55.4,2,volkswagen
 3 Series,2015,20990,Manual,17620,Petrol,265,36.7,3,BMW
 i3,2017,19895,Automatic,29851,Hybrid,0,470.8,0,BMW
 Grand C-MAX,2017,11400,Manual,22648,Petrol,30,54.3,1,ford
 Corsa,2015,7699,Automatic,39000,Petrol,150,47.1,1.4,vauxhall
 Q3,2017,17749,Manual,25737,Petrol,125,51.4,1.4,Audi
 Tiguan,2019,27950,Automatic,2000,Diesel,145,39.8,2,volkswagen
 Q3,2020,26500,Manual,1553,Petrol,145,40.9,1.5,Audi
 Mokka X,2017,10780,Manual,9012,Petrol,145,47.1,1.4,vauxhall
 Focus,2017,9620,Automatic,25668,Petrol,125,51.4,1,ford
 C Class,2019,24099,Automatic,9501,Diesel,145,57.7,2.1,merc
 Mokka,2016,8500,Manual,53984,Diesel,20,68.9,1.6,vauxhall
 Polo,2016,11450,Manual,13200,Petrol,0,65.7,1,volkswagen
 Aygo,2018,7795,Manual,21477,Petrol,150,68.9,1,toyota
 Corsa,2017,6985,Manual,13306,Petrol,145,55.4,1.4,vauxhall
 Astra,2019,13790,Manual,5926,Petrol,145,47.9,1.4,vauxhall
 Golf,2018,16991,Manual,7500,Diesel,145,67.3,2,volkswagen
 SQ5,2014,19400,Automatic,69682,Diesel,260,41.5,3,Audi
 Mondeo,2015,8450,Manual,70068,Diesel,30,64.2,2,ford
 A3,2003,1490,Automatic,101000,,240,,1.9,Audi
 Tiguan,2019,28300,Automatic,8549,Diesel,145,40.4,2,volkswagen
 Polo,2014,8950,Manual,34000,Petrol,20,58.9,1.2,volkswagen
 Polo,2017,11490,Manual,14201,Petrol,150,60.1,1.2,volkswagen
 X7,2019,62995,Automatic,11055,Diesel,145,33.6,3,BMW
 Corolla,2019,18700,Manual,6597,Petrol,145,39.2,1.2,toyota
 A1,2018,14995,Manual,23102,Petrol,145,55.4,1.4,Audi
 Yaris,2012,5495,Manual,37294,Diesel,20,72.4,1.4,toyota
 A7,2019,29930,Automatic,13450,,140,,3,Audi
 Mokka,2018,12700,Manual,7375,Petrol,145,39.2,1.4,vauxhall
 Golf,2019,19995,Semi-Auto,3000,Petrol,145,44.8,1.5,volkswagen
 1 Series,2019,15989,Automatic,7892,Petrol,145,55.5,1.5,BMW
 Focus,2017,12339,Manual,17333,Petrol,145,57.7,1,ford
 I10,2019,9491,Manual,10,Petrol,145,49.6,1,hyundi
 Touareg,2019,38989,Automatic,11393,Diesel,150,34.5,3,volkswagen
 C Class,2019,26799,Semi-Auto,4793,Diesel,145,58.9,1.6,merc
 Focus,2017,11200,Manual,15410,Diesel,145,74.3,1.5,ford
 Corsa,2014,5980,Manual,32700,Petrol,125,51.4,1.2,vauxhall
 Insignia,2017,10490,Automatic,44000,,145,,1.6,vauxhall
 B Class,2019,27199,Semi-Auto,8982,Diesel,145,54.3,2,merc
 Focus,2017,10998,Manual,14653,Diesel,0,74.3,1.5,ford
 Fiesta,2017,11000,Manual,20978,Petrol,0,65.7,1,ford
 Santa Fe,2019,36995,Automatic,100,Diesel,145,39.8,2.2,hyundi
 A3,2019,17400,Manual,4557,Diesel,145,49.6,1.6,Audi
 Fiesta,2018,8700,Manual,37345,Petrol,145,64.2,1.1,ford
 Astra,2019,11495,Manual,18240,,145,48.7,1,vauxhall
 CLS Class,2011,11995,Automatic,88559,Diesel,200,46.3,3,merc
 Octavia,2019,20298,Semi-Auto,10,Diesel,145,54.3,2,skoda
 Crossland X,2019,12272,Manual,10056,Petrol,145,44.8,1.2,vauxhall
 C Class,2019,28599,Semi-Auto,1171,Diesel,145,61.4,2,merc
 Q3,2019,26500,Manual,1445,Diesel,145,40.9,2,Audi
 Tiguan,2016,16690,Semi-Auto,31411,Diesel,165,49.6,2,volkswagen
 Corsa,2014,6488,Manual,66601,Petrol,235,38.7,1.6,vauxhall
 3 Series,2014,12990,Manual,30000,Petrol,160,44.8,2,BMW
 Fiesta,2018,8991,Manual,13363,Petrol,145,55.4,1.1,ford
 A3,2018,14650,Manual,8507,Diesel,145,49.6,1.6,Audi
 Q3,2017,21000,Automatic,19000,,145,,1.4,Audi
 Fiesta,2019,16040,Manual,1891,Petrol,145,58.9,1,ford
 4 Series,2017,16800,Automatic,44011,Diesel,150,65.7,2,BMW
 2 Series,2019,19495,Automatic,8500,,145,,1.5,BMW
 C-HR,2017,21000,Automatic,17996,Hybrid,0,74.3,1.8,toyota
 Q5,2016,22495,Semi-Auto,25721,Diesel,200,47.1,2,Audi
 Q2,2020,30995,Semi-Auto,2142,Diesel,145,44.8,2,Audi
 Golf,2019,20995,Semi-Auto,9767,Petrol,145,43.5,1.5,volkswagen
 Octavia,2018,17490,Manual,13825,Petrol,150,43.5,2,skoda
 Tiguan,2019,20500,Manual,4000,Petrol,145,38.2,1.5,volkswagen
 A3,2019,23950,Semi-Auto,4876,Diesel,145,52.3,1.6,Audi
 A3,2019,19779,Manual,9853,Diesel,145,51.4,1.6,Audi
 Tiguan Allspace,2019,32950,Semi-Auto,2678,Diesel,145,44.1,2,volkswagen
 A Class,2017,16565,Semi-Auto,18398,Petrol,145,53.3,1.6,merc
 Mokka,2015,8700,Manual,41941,Petrol,200,42.2,1.4,vauxhall
 Yaris,2018,9995,Manual,22889,Petrol,145,56.5,1.5,toyota
 2 Series,2016,17998,Semi-Auto,28099,Diesel,145,55.4,2,BMW
 C-MAX,2017,10998,Manual,7118,Petrol,30,55.4,1,ford
 Up,2017,7640,Manual,21882,Petrol,145,64.2,1,volkswagen
 A3,2019,32850,Semi-Auto,6337,Petrol,145,34.9,2,Audi
 A5,2017,21995,Semi-Auto,66483,Petrol,145,38.2,3,Audi
 Citigo,2017,7495,Manual,19545,Petrol,145,64.2,1,skoda
 C Class,2016,19750,Semi-Auto,31467,Diesel,30,64.2,2.1,merc
 Astra,2017,10400,Manual,35394,Diesel,0,76.3,1.6,vauxhall
 I20,2017,8291,Manual,17839,Petrol,145,58.9,1.2,hyundi
 Corsa,2017,7899,Manual,11309,Petrol,150,55.4,1.4,vauxhall
 Astra,2019,14250,Manual,4300,Diesel,145,58.9,1.6,vauxhall
 B Class,2019,20499,Automatic,15861,Petrol,145,45.6,1.3,merc
 M Class,2015,18789,Automatic,68279,Diesel,300,39.2,3,merc
 A3,2017,11600,Manual,40795,Diesel,0,74.3,1.6,Audi
 2 Series,2019,27016,Automatic,1402,Petrol,145,39.8,3,BMW
 Fiesta,2019,13998,Automatic,5674,Petrol,150,48.7,1,ford
 5 Series,2015,12900,Automatic,82000,Diesel,30,62.8,2,BMW
 Fiesta,2015,6495,Manual,58693,Diesel,0,78.5,1.6,ford
 Tiguan,2019,19995,Manual,12144,Petrol,150,40.9,1.5,volkswagen
 Astra,2016,10465,Manual,14000,Petrol,145,47.1,1.6,vauxhall
 Fiesta,2019,14550,Manual,10071,Petrol,145,60.1,1,ford
 Q5,2019,39990,Automatic,2632,Diesel,145,38.2,2,Audi
 Fiesta,2016,7950,Manual,16674,Petrol,125,54.3,1.2,ford
 Mokka X,2016,11948,Automatic,16593,Petrol,160,43.5,1.4,vauxhall
 Yaris,2017,9498,Manual,23277,Petrol,30,55,1.3,toyota
 A Class,2020,24780,Manual,9,Petrol,145,28.5,1.3,merc
 Prius,2015,21990,Automatic,30862,Other,10,64.2,1.8,toyota
 C Class,2016,17491,Automatic,18500,Diesel,20,65.7,2.1,merc
 Golf,2017,16900,Manual,3112,Petrol,20,60.1,1.4,volkswagen
 A5,2018,23015,Semi-Auto,14000,Diesel,150,67.3,2,Audi
 I30,2016,9998,Manual,12668,Petrol,145,48.7,1.4,hyundi
 Citigo,2017,8295,Manual,6630,Petrol,145,68.9,1,skoda
 A1,2016,9496,Manual,56875,Petrol,30,57.6,1.4,Audi
 Auris,2017,10750,Manual,14497,Petrol,30,58.9,1.2,toyota
 CLS Class,2013,12000,Automatic,65000,Diesel,150,54.3,2.1,merc
 Yaris,2017,9990,Automatic,5626,Petrol,30,58,1.3,toyota
 Fiesta,2017,7489,Manual,29094,Petrol,145,65.7,1,ford
 I20,2015,7290,Manual,24586,Petrol,30,55.4,1.2,hyundi
 Q3,2020,28995,Manual,1817,Diesel,145,42.8,2,Audi
 A3,2019,22500,Semi-Auto,4681,Diesel,145,53.3,1.6,Audi
 Up,2017,6999,Manual,27968,Petrol,145,64.2,1,volkswagen
 Polo,2017,9100,Manual,33267,Petrol,145,60.1,1.2,volkswagen
 C-MAX,2017,8500,Automatic,47350,Diesel,20,64.2,1.5,ford
 Q2,2019,26998,Semi-Auto,19,Diesel,150,46.3,2,Audi
 Q2,2019,30000,Semi-Auto,3059,Petrol,145,33.2,2,Audi
 A Class,2019,22966,Automatic,3535,Petrol,145,53.3,1.3,merc
 Grandland X,2019,16000,Automatic,1612,Petrol,145,43.5,1.2,vauxhall
 A3,2009,5295,Manual,63899,Petrol,200,40.9,1.6,Audi
 Q3,2019,30950,Manual,100,Diesel,145,42.8,2,Audi
 Polo,2018,13495,Manual,10000,Petrol,150,62.8,1,volkswagen
 Yeti Outdoor,2016,11699,Semi-Auto,5928,Petrol,125,51.4,1.2,skoda
 A4,2017,15540,Automatic,35452,Diesel,145,70.6,2,Audi
 A3,2019,25450,Semi-Auto,3946,Diesel,145,51.4,2,Audi
 C-MAX,2017,11200,Manual,6947,Petrol,30,55.4,1,ford
 1 Series,2016,13499,Manual,40855,,30,,2,BMW
 Polo,2017,9495,Manual,33019,,20,60.1,1.2,volkswagen
 SL CLASS,2016,18490,Semi-Auto,33650,Diesel,30,70.6,2.1,merc
 1 Series,2019,,Automatic,5000,,145,,2,BMW
 A Class,2016,17000,Manual,28142,Petrol,200,41.5,2,merc
 Fabia,2017,10790,Automatic,18828,Petrol,20,60.1,1.2,skoda
 S-MAX,2019,21673,Manual,13490,Diesel,145,56.5,2,ford
 Yeti Outdoor,2015,11790,Manual,37601,Diesel,160,49.6,2,skoda
 Focus,2016,22992,Manual,17515,Petrol,235,36.7,2.3,ford
 Kodiaq,2019,27850,Manual,7209,Diesel,145,52.3,2,skoda
 Focus,2017,10660,Manual,25453,Petrol,20,61.4,1,ford
 Q3,2017,17995,Manual,15968,Petrol,150,49.6,1.4,Audi
 CL Class,2014,17298,Semi-Auto,33274,Diesel,30,62.8,2.1,merc
 Corsa,2015,,Manual,22046,,125,,1.4,vauxhall
 Mondeo,2015,10490,Automatic,54000,Diesel,125,58.9,2,ford
 Polo,2017,10950,Manual,11518,Petrol,20,60.1,1.2,volkswagen
 I10,2017,6991,Manual,14931,Petrol,145,60.1,1,hyundi
 Golf,2016,19999,Automatic,12140,Petrol,160,44.1,2,volkswagen
 Golf,2016,12400,Manual,30312,Diesel,0,74.3,1.6,volkswagen
 Q3,2017,24790,Automatic,14059,Petrol,150,40.4,2,Audi
 Santa Fe,2015,17000,Semi-Auto,34203,Diesel,260,42.2,2.2,hyundi
 Mokka,2016,10891,Manual,12002,Petrol,200,42.2,1.4,vauxhall
 Tiguan,2018,23499,Semi-Auto,10050,Diesel,150,49.6,2,volkswagen
 Focus,2014,7211,Manual,67951,Diesel,125,56.5,2,ford
 Fiesta,2016,7250,Manual,38830,Petrol,0,65.7,1,ford
 C Class,2017,18998,Semi-Auto,26866,Diesel,30,64.2,2.1,merc
 KA,2016,5000,Manual,55000,Petrol,30,57.7,1.2,ford
 Focus,2019,19990,Automatic,5796,Diesel,145,47.9,1.5,ford
 KA,2017,8000,Manual,12950,Petrol,145,57.7,1.2,ford
 A5,2019,33490,Automatic,3798,Petrol,145,37.2,2,Audi
 Polo,2017,9995,Manual,22024,Petrol,150,60.1,1,volkswagen
 GT86,2018,18490,Manual,31231,Petrol,150,36.2,2,toyota
 X5,2019,48190,Automatic,7580,Diesel,145,37.7,3,BMW
 Golf,2016,15542,Manual,43994,Diesel,20,67.3,2,volkswagen
 Focus,2018,15495,Manual,14298,Petrol,145,58.9,1,ford
 Kuga,2018,19980,Manual,18911,Diesel,145,39.2,2,ford
 Astra,2018,11995,Manual,7500,Diesel,150,76.3,1.6,vauxhall
 C-MAX,2019,14299,Manual,5759,Petrol,145,48.7,1,ford
 Auris,2019,17995,Automatic,13250,Hybrid,135,65.6,1.8,toyota
 A4,2017,18990,Semi-Auto,30417,Diesel,30,62.8,2,Audi
 Corsa,2016,7998,Manual,15697,Petrol,30,55.4,1.4,vauxhall
 Focus,2013,11990,Manual,47729,Petrol,235,39.2,2,ford
 Q2,2020,27490,Semi-Auto,4554,Petrol,150,42.2,1.5,Audi
 Polo,2017,9690,Manual,14424,Petrol,145,58.9,1,volkswagen
 Astra,2019,14500,Manual,3785,Petrol,150,51.4,1.4,vauxhall
 C Class,2015,14490,Automatic,78000,Diesel,30,64.2,2.1,merc
 Kuga,2019,19498,Manual,9420,,145,,1.5,ford
 Polo,2019,11950,Manual,7000,Petrol,150,48.7,1,volkswagen
 Hilux,2018,23994,Automatic,16734,Diesel,265,36.2,2.4,toyota
 Galaxy,2017,17999,Manual,34036,Diesel,125,56.5,2,ford
 Arteon,2019,22999,Automatic,2187,Petrol,145,48.7,1.5,volkswagen
 Corsa,2019,8995,Manual,6688,Petrol,145,43.5,1.4,vauxhall
 Fiesta,2019,11698,Manual,18115,Petrol,145,58.9,1,ford
 A1,2016,13500,Manual,21263,Diesel,0,80.7,1.6,Audi
 Golf,2019,17298,Manual,9205,Petrol,145,47.1,1.5,volkswagen
 T-Roc,2019,27201,Semi-Auto,1293,Petrol,145,39.8,1.5,volkswagen
 Kuga,2019,19450,Manual,14010,Diesel,145,47.9,2,ford
 A Class,2020,24990,Manual,208,Petrol,145,47.1,1.3,merc
 5 Series,2019,25980,Semi-Auto,9630,Petrol,145,50.4,2,BMW
 C Class,2019,40749,Semi-Auto,7749,Petrol,145,30.4,3,merc
 Polo,2017,14995,Manual,12232,,145,47,1.8,volkswagen
 GLA Class,2017,16800,Automatic,21599,Diesel,30,64.2,2.1,merc
 M4,2019,39275,Semi-Auto,8787,Petrol,145,34,3,BMW
 1 Series,2019,19999,Semi-Auto,5963,Petrol,145,54.3,1.5,BMW
 Astra,2016,7195,Manual,82511,Diesel,0,83.1,1.6,vauxhall
 Focus,2018,19490,Manual,3000,Petrol,145,51.4,1.5,ford
 Golf,2011,7450,Manual,54973,Petrol,165,44.1,1.4,volkswagen
 X4,2019,36490,Semi-Auto,8432,Diesel,150,42.8,2,BMW
 Golf,2019,20150,Semi-Auto,3500,Petrol,145,43.5,1.5,volkswagen
 A1,2015,11995,Manual,26000,Petrol,0,67.3,1,Audi
 Mokka,2019,14995,Manual,9852,Petrol,145,39.2,1.4,vauxhall
 Tucson,2018,17190,Semi-Auto,33026,Diesel,145,57.7,1.7,hyundi
 Focus,2012,4499,Manual,93193,Petrol,145,47.9,1.6,ford
 X4,2016,18995,Automatic,74001,Diesel,145,54.3,2,BMW
 Verso,2009,2300,Manual,131797,Diesel,160,51.4,2,toyota
 Golf,2014,13995,Semi-Auto,53238,Diesel,30,62.8,2,volkswagen
 3 Series,2019,39950,Semi-Auto,1341,Diesel,150,43.5,3,BMW
 Corsa,2019,10498,Manual,4704,Petrol,150,43.5,1.4,vauxhall
 Mokka X,2019,11998,Manual,19398,Petrol,145,39.2,1.4,vauxhall
 Fiesta,2016,12995,Automatic,2874,,0,57.7,1,ford
 Fiesta,2017,9489,Manual,37069,Petrol,0,57.7,1,ford
 Focus,2018,13795,Manual,10231,Petrol,145,60.1,1,ford
 A Class,2016,14099,Manual,18262,Diesel,20,72.4,1.5,merc
 I800,2018,15999,Automatic,30038,,145,,2.5,hyundi
 Kuga,2013,8998,Manual,67895,Diesel,200,47.9,2,ford
 A3,2017,18990,Manual,21130,Diesel,145,65.7,2,Audi
 SL CLASS,2019,29990,Automatic,3425,Petrol,145,47.9,2,merc
 Arteon,2019,27499,Semi-Auto,10951,Petrol,150,32.8,2,volkswagen
 Kuga,2017,16998,Manual,19170,Diesel,145,60.1,2,ford
 I30,2016,9998,Manual,33298,Diesel,20,72.4,1.6,hyundi
 Astra,2016,8998,Manual,34379,Diesel,0,76.3,1.6,vauxhall
 T-Roc,2018,21092,Manual,17588,Petrol,145,53.3,1.5,volkswagen
 Fiesta,2015,7495,Manual,24000,Petrol,145,47.9,1.6,ford
 3 Series,2016,17980,Automatic,48947,Hybrid,0,134.5,2,BMW
 Focus,2018,14199,Manual,21853,Diesel,145,74.3,1.5,ford
 Up,2020,10500,Manual,1000,Petrol,145,54.3,1,volkswagen
 Tiguan,2017,23450,Semi-Auto,28804,Diesel,145,49.6,2,volkswagen
 C Class,2016,15990,Semi-Auto,26957,Diesel,30,65.7,1.6,merc
 Adam,2015,7000,Manual,27004,Petrol,125,53.3,1.2,vauxhall
 Fabia,2016,5641,Manual,28789,Petrol,20,60.1,1,skoda
 A4,2018,18995,Semi-Auto,18696,Petrol,145,50.4,1.4,Audi
 Polo,2019,15000,Manual,3000,Petrol,145,47.9,1,volkswagen
 A5,2015,13650,Manual,37314,Diesel,145,55.4,2,Audi
 Corsa,2015,4750,Manual,81826,Petrol,125,52.3,1.2,vauxhall
 Mokka X,2018,13500,Manual,5434,Petrol,145,47.1,1.4,vauxhall
 GLE Class,2019,49980,Semi-Auto,52,Diesel,145,36.7,2,merc
 1 Series,2017,14066,Semi-Auto,43260,Petrol,145,55.5,1.5,BMW
 C Class,2019,35791,Automatic,2910,Diesel,145,64.2,2,merc
 Fiesta,2018,16500,Manual,10026,Petrol,150,40.3,1.5,ford
 S-MAX,2019,27000,Automatic,4850,Diesel,145,54.3,2,ford
 Ioniq,2019,23991,Automatic,5500,Hybrid,135,78.5,1.6,hyundi
 5 Series,2019,27990,Automatic,14541,Diesel,145,65.7,2,BMW
 GLA Class,2017,18480,Semi-Auto,43375,Diesel,145,56.5,2.1,merc
 Yeti Outdoor,2017,12795,Manual,17365,Petrol,125,51.4,1.2,skoda
 Golf,2017,17925,Semi-Auto,50017,Diesel,30,62.8,2,volkswagen
 Touareg,2016,21990,Semi-Auto,18531,Diesel,235,42.8,3,volkswagen
 Fiesta,2014,7599,Manual,26536,Petrol,0,65.7,1,ford
 X1,2016,12795,Manual,71720,Diesel,20,68.9,2,BMW
 3 Series,2016,14920,Automatic,59695,,145,56.5,3,BMW
 C-HR,2019,25500,Automatic,2560,Hybrid,135,74.3,1.8,toyota
 X1,2017,20450,Semi-Auto,25725,Diesel,145,55.4,2,BMW
 Corsa,2015,6732,Manual,34037,Petrol,125,54.3,1.4,vauxhall
 Fiesta,2019,16400,Manual,4001,Petrol,145,60.1,1,ford
 I30,2016,7998,Manual,41429,,0,78.4,1.6,hyundi
 Polo,2016,9698,Manual,22037,Diesel,0,83.1,1.4,volkswagen
 Fiesta,2016,8200,Manual,35865,Petrol,0,65.7,1,ford
 Prius,2019,24395,Automatic,4092,Other,140,61.4,1.8,toyota
 Polo,2016,11320,Automatic,9832,Petrol,20,60.1,1.2,volkswagen
 A Class,2013,10599,Automatic,51140,Petrol,145,50.4,1.6,merc
 TT,2019,27750,Automatic,1493,Petrol,145,35.3,2,Audi
 Fabia,2018,11330,Manual,8401,Petrol,145,64.2,1,skoda
 Golf,2013,7960,Semi-Auto,56122,Diesel,30,62.8,2,volkswagen
 Auris,2017,16798,Automatic,11097,Hybrid,135,78.5,1.8,toyota
 A1,2016,12491,Manual,38876,Petrol,30,55.4,1.4,Audi
 Insignia,2017,13499,Manual,12148,Petrol,145,47.1,1.5,vauxhall
 Focus,2018,13500,Manual,11000,Petrol,145,57.7,1,ford
 T-Roc,2018,23299,Automatic,11233,Petrol,145,41.5,2,volkswagen
 X2,2019,27990,Semi-Auto,10,Petrol,145,38.7,2,BMW
 EcoSport,2018,13791,Manual,2368,Petrol,150,54.3,1,ford
 C Class,2019,25599,Semi-Auto,12300,Petrol,145,47.1,1.5,merc
 Adam,2013,6000,Manual,26000,Petrol,125,51.4,1.4,vauxhall
 Kona,2019,16995,Manual,6250,Petrol,145,44.1,1,hyundi
 Kuga,2018,15980,Manual,16773,Diesel,145,64.2,1.5,ford
 Octavia,2019,14595,Manual,7435,Diesel,145,56.5,2,skoda
 Arteon,2019,32495,Automatic,2494,Diesel,145,44.1,2,volkswagen
 Corsa,2019,10398,Manual,12635,Petrol,145,43.5,1.4,vauxhall
 C-MAX,2018,12998,Manual,2455,Diesel,145,68.9,1.5,ford
 Edge,2016,17999,Manual,21000,Diesel,165,48.7,2,ford
 Octavia,2019,17995,Manual,5000,Petrol,145,50.4,1.5,skoda
 Astra,2016,10869,Manual,17676,Diesel,20,72.4,1.6,vauxhall
 RAV4,2016,23995,Automatic,23750,Hybrid,20,55.4,2.5,toyota
 5 Series,2016,14550,Automatic,56320,Diesel,30,62.8,2,BMW
 Astra,2018,10998,Manual,19506,Petrol,150,49.6,1.4,vauxhall
 I20,2010,3795,Manual,49000,Petrol,145,50.4,1.4,hyundi
 Aygo,2017,7490,Manual,12844,Petrol,145,68.9,1,toyota
 C Class,2016,13691,Semi-Auto,36538,Diesel,30,65.7,1.6,merc
 Fiesta,2016,8600,Manual,25929,Petrol,125,54.3,1.2,ford
 Fabia,2018,9650,Manual,14076,Petrol,145,64.2,1,skoda
 Edge,2017,22500,Semi-Auto,19552,Diesel,200,47.9,2,ford
 E Class,2017,19751,Semi-Auto,36056,Diesel,30,65.7,2,merc
 I10,2018,9633,Manual,7804,Petrol,145,57.7,1.2,hyundi
 Q5,2016,27498,Semi-Auto,52427,Diesel,235,42.2,3,Audi
